Group,Video,Github,Members
Health Yeah,https://vimeo.com/397091819,https://uw-cse442-wi20.github.io/FP-health-yeah/,
Olympians,https://vimeo.com/397466241,https://uw-cse442-wi20.github.io/FP-olympians/,
Global Nuclear Power,https://vimeo.com/397584433,https://uw-cse442-wi20.github.io/FP-global-nuclear-power-plant/,
Runescape Market Watch,https://vimeo.com/397559046,https://sippy.dev:3000/,
Coastline Paradox,https://vimeo.com/397587176,,
College Majors,https://vimeo.com/396865520,https://uw-cse442-wi20.github.io/FP-college-majors/,
Gun Deaths,https://vimeo.com/397060968,https://uw-cse442-wi20.github.io/FP-gun-deaths/,
Cryptography (Hushhhhhhhz),https://vimeo.com/397364489,https://uw-cse442-wi20.github.io/FP-hushhhhhhhz/,
Oscar Nominations,https://vimeo.com/398054109,https://uw-cse442-wi20.github.io/FP-oscar-nominations/,
Titanic,https://vimeo.com/396333961,https://uw-cse442-wi20.github.io/FP-titanic/,
Understanding Drug Abuse,https://vimeo.com/397565047,https://uw-cse442-wi20.github.io/FP-understanding-drug-abuse/,
Oscars,https://vimeo.com/397476846,https://uw-cse442-wi20.github.io/FP-oscars/,
Airbnbs,https://vimeo.com/397321891,https://uw-cse442-wi20.github.io/FP-airbnbs-in-new-york/,
Where My Country Gone,https://vimeo.com/397572929,https://uw-cse442-wi20.github.io/FP-where-my-country-gone/,
Chicago Crime Analysis,https://vimeo.com/397533580,https://uw-cse442-wi20.github.io/FP-chicago-crime-analysis/,
Airline Delays,https://vimeo.com/397585507,https://uw-cse442-wi20.github.io/FP-airline-delay-and-cancellation/,
US Election History,https://vimeo.com/397586292,https://uw-cse442-wi20.github.io/FP-us-election-history/,
Amazon Reviews,https://vimeo.com/397586794,https://uw-cse442-wi20.github.io/FP-explore-college-majors/,
Prediction 2020,https://vimeo.com/397289816,https://uw-cse442-wi20.github.io/FP-prediction-2020/,
World Country Statistics,https://vimeo.com/397566433,https://uw-cse442-wi20.github.io/FP-world-country-statistics/,
Outgoing Flights,https://vimeo.com/397583668,https://uw-cse442-wi20.github.io/FP-outgoing-flights-by-airport/,
News and Search Trends,https://vimeo.com/397587171,https://uw-cse442-wi20.github.io/FP-news-and-search-trends/,
Convolutional Neural Nets,https://vimeo.com/397586359,https://uw-cse442-wi20.github.io/FP-convolutional-neural-networks/,
Music Vibez,https://vimeo.com/397575187,https://uw-cse442-wi20.github.io/FP-music-vibez/,
Understanding Paxos,https://www.youtube.com/watch?v=ExuPUrK7H_I,https://uw-cse442-wi20.github.io/FP-understanding-paxos/,
Music Synthesis,https://vimeo.com/397575360,https://uw-cse442-wi20.github.io/FP-music-synthesis/,
Gale Shapely Algorithm,https://vimeo.com/397572018,https://uw-cse442-wi20.github.io/FP-cs-algorithm/,
Seattle Housing,https://vimeo.com/397586401,https://uw-cse442-wi20.github.io/FP-seattle-housing-price/,
SAT Scores,,https://uw-cse442-wi20.github.io/FP-wifi-crime-and-sat-scores-of-nyc/,